interacao_id,lead_id,canal,etapa_cadencia,data_interacao,resultado,objecao_registrada,resumo_interacao
1,1,WhatsApp,1,2026-07-19,Objecao,Nao e prioridade este ano,"Pediu para so enviar material por email, sem call"
2,1,WhatsApp,2,2026-07-21,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
3,1,LinkedIn,3,2026-07-30,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
4,1,LinkedIn,4,2026-07-31,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
5,2,Email,1,2026-08-27,Sem resposta,,Nenhuma resposta ate o momento
6,2,Email,2,2026-08-31,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
7,2,WhatsApp,3,2026-09-04,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
8,2,WhatsApp,4,2026-09-12,Nao perturbe,,Solicitou remocao da lista de prospeccao
9,3,Email,1,2026-05-04,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
10,3,Email,2,2026-05-07,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
11,3,Email,3,2026-05-11,Sem resposta,,Nenhuma resposta ate o momento
12,4,LinkedIn,1,2026-08-12,Sem resposta,,Nenhuma resposta ate o momento
13,4,LinkedIn,2,2026-08-16,Sem resposta,,Nenhuma resposta ate o momento
14,4,LinkedIn,3,2026-08-24,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
15,5,LinkedIn,1,2026-06-13,Nao perturbe,,Solicitou remocao da lista de prospeccao
16,5,LinkedIn,2,2026-06-18,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
17,6,WhatsApp,1,2026-05-05,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
18,6,WhatsApp,2,2026-05-09,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
19,6,WhatsApp,3,2026-05-10,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
20,6,Email,4,2026-05-17,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
21,7,Email,1,2026-09-02,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
22,7,LinkedIn,2,2026-09-10,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
23,7,LinkedIn,3,2026-09-07,Sem resposta,,Nenhuma resposta ate o momento
24,8,LinkedIn,1,2026-05-27,Objecao,,"Pediu para so enviar material por email, sem call"
25,8,LinkedIn,2,2026-05-28,Sem resposta,,Nenhuma resposta ate o momento
26,8,Email,3,2026-06-09,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
27,9,WhatsApp,1,2026-08-08,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
28,9,WhatsApp,2,2026-08-13,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
29,9,Email,3,2026-08-21,Objecao,Ja temos parceiro,Respondeu que nao e prioridade neste momento
30,9,LinkedIn,4,2026-08-23,Sem resposta,,Nenhuma resposta ate o momento
31,10,Email,1,2026-09-06,Objecao,Orcamento comprometido,Disse que ja tem um parceiro atendendo esse escopo
32,10,LinkedIn,2,2026-09-11,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
33,11,WhatsApp,1,2026-07-02,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
34,11,Email,2,2026-07-03,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
35,11,Email,3,2026-07-12,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
36,12,WhatsApp,1,2026-04-29,Sem resposta,,Nenhuma resposta ate o momento
37,12,Email,2,2026-05-05,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
38,13,Email,1,2026-05-16,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
39,13,Email,2,2026-05-24,Sem resposta,,Nenhuma resposta ate o momento
40,13,WhatsApp,3,2026-05-27,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
41,14,Email,1,2026-09-05,Sem resposta,,Nenhuma resposta ate o momento
42,14,Email,2,2026-09-09,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
43,14,Email,3,2026-09-11,Objecao,Nao e prioridade este ano,"Disse que a decisao nao e dele, indicou outro contato"
44,15,Email,1,2026-08-22,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
45,15,Email,2,2026-08-27,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
46,15,Email,3,2026-08-26,Sem resposta,,Nenhuma resposta ate o momento
47,15,LinkedIn,4,2026-09-10,Objecao,Orcamento comprometido,Respondeu que nao e prioridade neste momento
48,15,WhatsApp,5,2026-09-06,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
49,15,LinkedIn,6,2026-09-16,Sem resposta,,Nenhuma resposta ate o momento
50,16,Email,1,2026-07-15,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
51,16,WhatsApp,2,2026-07-16,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
52,17,LinkedIn,1,2026-08-09,Sem resposta,,Nenhuma resposta ate o momento
53,17,LinkedIn,2,2026-08-17,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
54,18,Email,1,2026-09-05,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
55,18,Email,2,2026-09-11,Objecao,Manda material por email,Disse que ja tem um parceiro atendendo esse escopo
56,18,Email,3,2026-09-13,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
57,19,Email,1,2026-08-18,Nao perturbe,,Solicitou remocao da lista de prospeccao
58,19,LinkedIn,2,2026-08-20,Sem resposta,,Nenhuma resposta ate o momento
59,19,WhatsApp,3,2026-08-29,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
60,19,WhatsApp,4,2026-09-07,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
61,19,LinkedIn,5,2026-09-13,Sem resposta,,Nenhuma resposta ate o momento
62,20,Email,1,2026-05-05,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
63,20,Email,2,2026-05-06,Objecao,Manda material por email,"Disse que a decisao nao e dele, indicou outro contato"
64,20,WhatsApp,3,2026-05-09,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
65,21,LinkedIn,1,2026-07-19,Sem resposta,,Nenhuma resposta ate o momento
66,21,LinkedIn,2,2026-07-22,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
67,21,Email,3,2026-07-29,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
68,21,Email,4,2026-08-03,Sem resposta,,Nenhuma resposta ate o momento
69,21,Email,5,2026-08-08,Objecao,,Disse que ja tem um parceiro atendendo esse escopo
70,22,WhatsApp,1,2026-09-01,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
71,22,Email,2,2026-09-07,Objecao,Orcamento comprometido,"Disse que a decisao nao e dele, indicou outro contato"
72,22,Email,3,2026-09-09,Sem resposta,,Nenhuma resposta ate o momento
73,22,Email,4,2026-09-13,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
74,23,Email,1,2026-07-12,Objecao,Manda material por email,Informou que o orcamento do ano ja esta comprometido
75,23,LinkedIn,2,2026-07-12,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
76,23,Email,3,2026-07-15,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
77,24,LinkedIn,1,2026-06-07,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
78,24,LinkedIn,2,2026-06-13,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
79,24,WhatsApp,3,2026-06-15,Objecao,Nao e prioridade este ano,Disse que ja tem um parceiro atendendo esse escopo
80,24,LinkedIn,4,2026-06-27,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
81,24,WhatsApp,5,2026-07-03,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
82,24,Email,6,2026-07-09,Objecao,Ja temos parceiro,Disse que ja tem um parceiro atendendo esse escopo
83,25,LinkedIn,1,2026-09-05,Objecao,Nao sou eu quem decide,Disse que ja tem um parceiro atendendo esse escopo
84,25,WhatsApp,2,2026-09-14,Sem resposta,,Nenhuma resposta ate o momento
85,25,Email,3,2026-09-11,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
86,25,LinkedIn,4,2026-09-14,Sem resposta,,Nenhuma resposta ate o momento
87,26,LinkedIn,1,2026-08-04,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
88,26,LinkedIn,2,2026-08-10,Sem resposta,,Nenhuma resposta ate o momento
89,26,Email,3,2026-08-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
90,26,LinkedIn,4,2026-08-14,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
91,27,LinkedIn,1,2026-05-04,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
92,27,LinkedIn,2,2026-05-10,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
93,27,WhatsApp,3,2026-05-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
94,27,LinkedIn,4,2026-05-10,Sem resposta,,Nenhuma resposta ate o momento
95,27,WhatsApp,5,2026-05-13,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
96,28,Email,1,2026-07-21,Objecao,Nao e prioridade este ano,Respondeu que nao e prioridade neste momento
97,28,Email,2,2026-07-25,Objecao,Manda material por email,Disse que ja tem um parceiro atendendo esse escopo
98,30,WhatsApp,1,2026-05-01,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
99,30,Email,2,2026-05-02,Sem resposta,,Nenhuma resposta ate o momento
100,30,Email,3,2026-05-08,Sem resposta,,Nenhuma resposta ate o momento
101,31,Email,1,2026-09-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
102,31,Email,2,2026-09-11,Objecao,Nao e prioridade este ano,Informou que o orcamento do ano ja esta comprometido
103,32,WhatsApp,1,2026-08-04,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
104,32,Email,2,2026-08-09,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
105,32,Email,3,2026-08-14,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
106,33,WhatsApp,1,2026-04-20,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
107,33,LinkedIn,2,2026-04-22,Nao perturbe,,Solicitou remocao da lista de prospeccao
108,33,WhatsApp,3,2026-04-28,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
109,33,WhatsApp,4,2026-04-28,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
110,33,Email,5,2026-05-06,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
111,34,WhatsApp,1,2026-04-01,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
112,34,Email,2,2026-04-09,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
113,35,WhatsApp,1,2026-09-02,Objecao,Nao e prioridade este ano,Respondeu que nao e prioridade neste momento
114,35,WhatsApp,2,2026-09-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
115,35,LinkedIn,3,2026-09-15,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
116,36,LinkedIn,1,2026-05-13,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
117,36,Email,2,2026-05-17,Objecao,,"Disse que a decisao nao e dele, indicou outro contato"
118,36,LinkedIn,3,2026-05-24,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
119,36,Email,4,2026-06-02,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
120,37,LinkedIn,1,2026-05-31,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
121,37,Email,2,2026-06-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
122,37,Email,3,2026-06-07,Objecao,Nao e prioridade este ano,Informou que o orcamento do ano ja esta comprometido
123,37,Email,4,2026-06-07,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
124,38,Email,1,2026-04-03,Sem resposta,,Nenhuma resposta ate o momento
125,38,WhatsApp,2,2026-04-09,Sem resposta,,Nenhuma resposta ate o momento
126,39,WhatsApp,1,2026-04-17,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
127,39,WhatsApp,2,2026-04-26,Objecao,,Disse que ja tem um parceiro atendendo esse escopo
128,39,WhatsApp,3,2026-05-02,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
129,39,Email,4,2026-05-04,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
130,40,LinkedIn,1,2026-04-09,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
131,40,Email,2,2026-04-16,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
132,41,WhatsApp,1,2026-05-30,Nao perturbe,,Solicitou remocao da lista de prospeccao
133,41,LinkedIn,2,2026-06-02,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
134,42,LinkedIn,1,2026-09-09,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
135,43,Email,1,2026-09-10,Sem resposta,,Nenhuma resposta ate o momento
136,43,WhatsApp,2,2026-09-13,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
137,44,LinkedIn,1,2026-08-10,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
138,44,Email,2,2026-08-15,Nao perturbe,,Solicitou remocao da lista de prospeccao
139,44,WhatsApp,3,2026-08-16,Nao perturbe,,Solicitou remocao da lista de prospeccao
140,44,LinkedIn,4,2026-08-19,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
141,44,Email,5,2026-08-27,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
142,44,WhatsApp,6,2026-08-25,Sem resposta,,Nenhuma resposta ate o momento
143,45,Email,1,2026-06-27,Sem resposta,,Nenhuma resposta ate o momento
144,45,Email,2,2026-07-02,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
145,45,LinkedIn,3,2026-07-01,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
146,45,LinkedIn,4,2026-07-04,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
147,45,LinkedIn,5,2026-07-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
148,46,LinkedIn,1,2026-08-01,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
149,46,Email,2,2026-08-01,Sem resposta,,Nenhuma resposta ate o momento
150,46,LinkedIn,3,2026-08-07,Objecao,Ja temos parceiro,"Disse que a decisao nao e dele, indicou outro contato"
151,47,WhatsApp,1,2026-06-26,Nao perturbe,,Solicitou remocao da lista de prospeccao
152,47,Email,2,2026-07-01,Sem resposta,,Nenhuma resposta ate o momento
153,48,Email,1,2026-05-07,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
154,48,WhatsApp,2,2026-05-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
155,48,Email,3,2026-05-10,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
156,48,LinkedIn,4,2026-05-13,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
157,48,WhatsApp,5,2026-05-21,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
158,49,WhatsApp,1,2026-04-19,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
159,49,WhatsApp,2,2026-04-24,Sem resposta,,Nenhuma resposta ate o momento
160,49,Email,3,2026-04-28,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
161,49,WhatsApp,4,2026-05-02,Sem resposta,,Nenhuma resposta ate o momento
162,49,Email,5,2026-05-11,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
163,50,Email,1,2026-04-26,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
164,50,Email,2,2026-05-03,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
165,50,WhatsApp,3,2026-05-06,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
166,51,WhatsApp,1,2026-04-01,Sem resposta,,Nenhuma resposta ate o momento
167,51,WhatsApp,2,2026-04-05,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
168,51,Email,3,2026-04-09,Objecao,Orcamento comprometido,Respondeu que nao e prioridade neste momento
169,52,Email,1,2026-07-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
170,52,WhatsApp,2,2026-07-07,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
171,52,WhatsApp,3,2026-07-13,Objecao,Nao sou eu quem decide,Disse que ja tem um parceiro atendendo esse escopo
172,52,Email,4,2026-07-25,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
173,53,WhatsApp,1,2026-06-13,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
174,53,LinkedIn,2,2026-06-22,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
175,53,Email,3,2026-06-25,Objecao,Orcamento comprometido,Respondeu que nao e prioridade neste momento
176,53,Email,4,2026-06-22,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
177,54,Email,1,2026-07-30,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
178,54,WhatsApp,2,2026-07-30,Objecao,Ja temos parceiro,"Pediu para so enviar material por email, sem call"
179,54,WhatsApp,3,2026-08-02,Sem resposta,,Nenhuma resposta ate o momento
180,54,WhatsApp,4,2026-08-13,Sem resposta,,Nenhuma resposta ate o momento
181,54,Email,5,2026-08-23,Nao perturbe,,Solicitou remocao da lista de prospeccao
182,54,LinkedIn,6,2026-08-11,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
183,55,Email,1,2026-05-12,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
184,55,Email,2,2026-05-16,Sem resposta,,Nenhuma resposta ate o momento
185,55,LinkedIn,3,2026-05-17,Sem resposta,,Nenhuma resposta ate o momento
186,55,Email,4,2026-05-24,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
187,55,Email,5,2026-05-28,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
188,55,Email,6,2026-05-26,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
189,56,LinkedIn,1,2026-08-26,Sem resposta,,Nenhuma resposta ate o momento
190,56,LinkedIn,2,2026-09-02,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
191,56,LinkedIn,3,2026-09-04,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
192,56,LinkedIn,4,2026-09-12,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
193,57,WhatsApp,1,2026-04-17,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
194,57,WhatsApp,2,2026-04-18,Objecao,,Respondeu que nao e prioridade neste momento
195,57,Email,3,2026-04-24,Sem resposta,,Nenhuma resposta ate o momento
196,57,Email,4,2026-04-28,Objecao,Manda material por email,Disse que ja tem um parceiro atendendo esse escopo
197,57,Email,5,2026-05-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
198,58,WhatsApp,1,2026-06-08,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
199,58,Email,2,2026-06-15,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
200,58,Email,3,2026-06-17,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
201,58,Email,4,2026-06-25,Objecao,Ja temos parceiro,"Pediu para so enviar material por email, sem call"
202,58,Email,5,2026-06-30,Sem resposta,,Nenhuma resposta ate o momento
203,59,LinkedIn,1,2026-07-24,Sem resposta,,Nenhuma resposta ate o momento
204,59,LinkedIn,2,2026-08-02,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
205,59,Email,3,2026-08-08,Sem resposta,,Nenhuma resposta ate o momento
